"","grupo","separado_clasica","separado_arbol","magnitude"
"1","G5-G6",FALSE,FALSE,"negligible"
"2","G5-GPR_0",TRUE,TRUE,"large"
"3","G5-GPR_2",FALSE,TRUE,"small"
"4","G5-GPR_3",FALSE,TRUE,"small"
"5","G5-GPR_4",FALSE,TRUE,"small"
"6","G6-GPR_0",TRUE,TRUE,"large"
"7","G6-GPR_2",TRUE,TRUE,"small"
"8","G6-GPR_3",FALSE,TRUE,"small"
"9","G6-GPR_4",FALSE,TRUE,"small"
"10","GPR_0-GPR_2",FALSE,TRUE,"moderate"
"11","GPR_0-GPR_3",TRUE,TRUE,"large"
"12","GPR_0-GPR_4",TRUE,TRUE,"large"
"13","GPR_2-GPR_3",FALSE,FALSE,"negligible"
"14","GPR_2-GPR_4",FALSE,TRUE,"small"
"15","GPR_3-GPR_4",FALSE,TRUE,"moderate"
