"","grupo","separado_clasica","separado_arbol","magnitude"
"1","G5-G6",FALSE,TRUE,"large"
"2","G5-GPR_0",FALSE,FALSE,"moderate"
"3","G5-GPR_2",FALSE,FALSE,"negligible"
"4","G5-GPR_3",FALSE,FALSE,"small"
"5","G5-GPR_4",FALSE,TRUE,"moderate"
"6","G6-GPR_0",TRUE,TRUE,"large"
"7","G6-GPR_2",TRUE,TRUE,"large"
"8","G6-GPR_3",FALSE,TRUE,"large"
"9","G6-GPR_4",FALSE,FALSE,"small"
"10","GPR_0-GPR_2",FALSE,FALSE,"small"
"11","GPR_0-GPR_3",FALSE,FALSE,"small"
"12","GPR_0-GPR_4",FALSE,TRUE,"large"
"13","GPR_2-GPR_3",FALSE,FALSE,"negligible"
"14","GPR_2-GPR_4",FALSE,TRUE,"moderate"
"15","GPR_3-GPR_4",FALSE,TRUE,"moderate"
