"","archivo","grupo","media_real","dest_real","X","dest_sim","dif_medias","p_valor_media","ic_inf","ic_sup","var_real","var_sim","F_var","p_valor_var","p_media_ajustado","p_var_ajustado"
"1","03b_estres_20.csv","1",0.9875,0.336738559037805,1,0.312907719955454,-0.12446807106153,0.588132467183501,-0.574952761207483,0.326016619084423,0.113392857142857,0.0979112412077208,1.15811888138862,0.906797095352858,1,1
"2","03b_estres_20.csv","2",0.27,0.105830052442584,2,0.0793401681444229,0.000401608145737031,0.995154767330825,-0.129221174322664,0.130024390614138,0.0112,0.0062948622811853,1.7792287582646,0.647748226618591,1,1
"3","03b_estres_20.csv","3",0.8775,0.249728423921439,3,0.301520672507331,0.016791253643736,0.93164354390607,-0.366887196621173,0.400469703908645,0.0623642857142857,0.0909147159492732,0.685964698488225,0.76421930413586,1,1
"4","03b_estres_20.csv","4",1.58375,0.421356228657619,4,0.340068689432586,0.10685467973424,0.693075384198642,-0.423784132148677,0.637493491617157,0.177541071428571,0.115646713532397,1.53520204773338,0.733218725377555,1,1
"5","03b_estres_30.csv","1",0.9875,0.336738559037805,1,0.358428350267541,0.020232814940308,0.934423057775987,-0.461727697277655,0.502193327158271,0.113392857142857,0.128470882275511,0.882634688377725,0.920676429212583,1,1
"6","03b_estres_30.csv","2",0.27,0.105830052442584,2,0.114367772944258,-0.00790986211615696,0.919133400990464,-0.160613824028399,0.144794099796085,0.0112,0.0130799874882294,0.856269932221178,0.901512286677321,1,1
"7","03b_estres_30.csv","3",0.8775,0.249728423921439,3,0.275502579190288,-0.0052863538517729,0.977316496097281,-0.369690833740999,0.359118126037453,0.0623642857142857,0.0759016711405009,0.821645752684994,0.87553872916812,1,1
"8","03b_estres_30.csv","4",1.58375,0.421356228657619,4,0.402735980732489,0.04382590420613,0.880465049471801,-0.527386615682543,0.615038424094803,0.177541071428571,0.16219627017656,1.09460637556775,0.942511580392349,1,1
"9","03b_estres_40.csv","1",0.9875,0.336738559037805,1,0.353366827118556,-0.00270899391209201,0.991143895872123,-0.481066430535926,0.475648442711742,0.113392857142857,0.124868114507835,0.908100979900211,0.938701245105481,1,1
"10","03b_estres_40.csv","2",0.27,0.105830052442584,2,0.0959539538242627,0.00968022863657503,0.892195591409989,-0.130316334424202,0.149676791697352,0.0112,0.00920716125450874,1.21644442737607,0.875861103620225,1,1
"11","03b_estres_40.csv","3",0.8775,0.249728423921439,3,0.253148327756654,0.110606065523949,0.53388352251933,-0.237877802743277,0.459089933791175,0.0623642857142857,0.0640840758459903,0.973163533857652,0.982683545544721,1,1
"12","03b_estres_40.csv","4",1.58375,0.421356228657619,4,0.490004400171462,-0.07520761404362,0.815956259059069,-0.708537406825211,0.558122178737971,0.177541071428571,0.240104312187394,0.739433081443393,0.809984586678069,1,1
"13","03c_estres_6g_n20.csv","1",0.9875,0.336738559037805,1,0.287624894880836,-0.01935700886355,0.924871068904483,-0.421688379900796,0.382974362173696,0.113392857142857,0.0827280801552119,1.37066951064394,0.705502637646127,1,1
"14","03c_estres_6g_n20.csv","2",0.27,0.105830052442584,2,0.0803603188849983,0.037623093567911,0.545650314041959,-0.0844063365697602,0.159652523705582,0.0112,0.00645778085129861,1.73434191371603,0.550504876299487,1,1
"15","03c_estres_6g_n20.csv","3",0.8775,0.249728423921439,3,0.244100433822766,0.065105230355049,0.683618956021093,-0.24801609323426,0.378226553944358,0.0623642857142857,0.0595850217924626,1.04664366711996,0.896789468569807,1,1
"16","03c_estres_6g_n20.csv","4",1.58375,0.421356228657619,4,0.368210228456002,0.10359650104633,0.688948249538322,-0.403667743343759,0.610860745436419,0.177541071428571,0.135578772339621,1.30950493476837,0.737152373261267,1,1
"17","03d_estres_desbalanceados.csv","1",0.9875,0.336738559037805,1,0.322397205555078,-0.0683231263150998,0.769435784124734,-0.525189010144254,0.388542757514054,0.113392857142857,0.103939958149723,1.09094576485703,0.94463786432505,1,1
"18","03d_estres_desbalanceados.csv","2",0.27,0.105830052442584,2,0.0979865583201376,0.016741793261625,0.816414304234179,-0.124600456378082,0.158084042901332,0.0112,0.00960136561142573,1.1665007305494,0.902244923401622,1,1
"19","03d_estres_desbalanceados.csv","3",0.8775,0.249728423921439,3,0.297849425407309,0.0466445387073481,0.810322489581802,-0.334269959203839,0.427559036618535,0.0623642857142857,0.0887142802154641,0.702979109595647,0.77906214662292,1,1
"20","03d_estres_desbalanceados.csv","4",1.58375,0.421356228657619,4,0.456135516755113,0.13658112863176,0.660011124460411,-0.47196705689137,0.74512931415489,0.177541071428571,0.208059609645454,0.853318295324652,0.899334191403498,1,1
"21","03e_estres_6g_n40.csv","1",0.9875,0.336738559037805,1,0.305728304146387,0.027944524261296,0.893931073894326,-0.382845074792655,0.438734123315247,0.113392857142857,0.0934697959562257,1.21314972374565,0.790956290769426,1,1
"22","03e_estres_6g_n40.csv","2",0.27,0.105830052442584,2,0.101402731278496,-0.011241108519548,0.867120565235015,-0.142922659644155,0.120440442605059,0.0112,0.0102825139107389,1.08922779946866,0.868041894598598,1,1
"23","03e_estres_6g_n40.csv","3",0.8775,0.249728423921439,3,0.215462595356832,0.00175551317692002,0.990829524173732,-0.297607949801875,0.301118976155716,0.0623642857142857,0.0464241299979019,1.34335927710663,0.719405692523797,1,1
"24","03e_estres_6g_n40.csv","4",1.58375,0.421356228657619,4,0.474119457968873,0.0537605455552701,0.850945830075769,-0.506984954181096,0.614506045291636,0.177541071428571,0.224789260424698,0.789811181784842,0.901292188799579,1,1
