caso,H,n_aciertos
1,0.9966670550486785,3
2,0.9676136551284847,2
3,0.9593373683606815,3
4,0.9304186620582023,3
1,0.9739849522844551,3
2,0.9750254812642858,3
3,0.8723178983381361,3
4,0.9906826585225453,1
1,0.9503708593053227,3
2,0.8686846536900497,1
3,0.9658596581350245,3
4,0.9924069479917749,3
1,0.9390554164872805,3
2,0.8235279928056236,3
3,0.9428881891183105,3
4,0.8571714519694273,3
1,0.9596743851644275,3
2,0.9826301639446198,2
3,0.8697342413096114,3
4,0.9912277399573749,3
1,0.9961626242265674,3
2,0.9617140081993407,3
3,0.8990681923271808,3
4,0.8895951911673141,3
1,0.7820366927460407,3
2,0.9003384807255809,2
3,0.9973246818247503,3
4,0.8565149457097294,3
1,0.877493071109683,3
2,0.9352862928743539,2
3,0.9205129396288396,3
4,0.9360824288517998,3
1,0.9708270113937467,3
2,0.886859507142915,3
3,0.9895376619402001,3
4,0.98706971487677,2
1,0.9073877507761329,2
2,0.9957435209363303,2
3,0.9368055814038901,3
4,0.9128200510540846,3
1,0.9959008613559502,3
2,0.9632446810529782,2
3,0.9928412413327481,3
4,0.9728080531193569,3
1,0.900487443783989,3
2,0.9739849522844551,1
3,0.8612139236389827,3
4,0.9713107216099232,3
1,0.9443073643691651,3
2,0.9856572979376793,3
3,0.8898674129376923,3
4,0.7709786577160884,3
1,0.8529600685823331,3
2,0.9328516906790134,1
3,0.9118773007363609,3
4,0.9811913105053581,2
1,0.9668802869474055,3
2,0.8609515003710418,3
3,0.8823784999970758,3
4,0.9679875288359535,3
1,0.9073877507761329,3
2,0.9963355319959452,1
3,0.9106645111089537,3
4,0.8770978421099027,1
1,0.8146568503707051,0
2,0.9083549677228928,1
3,0.9651810412907673,3
4,0.9574938440939276,2
1,0.8958904844041411,3
2,0.8656876294304442,3
3,0.9389879670318448,3
4,0.9528800611170465,2
1,0.9412955006275616,3
2,0.9408284332332087,2
3,0.9741707427017494,3
4,0.8697585744207917,3
1,0.9448125197988139,3
2,0.8656684691272173,3
3,0.9279512469089926,3
4,0.9653680277232801,3
1,0.8460792196719334,1
2,0.9397296598091693,2
3,0.9140758065778698,0
4,0.9751835297490364,3
1,0.9921448710899535,3
2,0.9057693751259753,3
3,0.9095433329955658,3
4,0.7883776764439292,3
1,0.9925178070373916,3
2,0.9316724914406802,3
3,0.9135983441932738,3
4,0.9235318145065435,3
1,0.9651543214207993,3
2,0.8812898783122877,1
3,0.9421145844877875,3
4,0.9330150685827246,0
1,0.9864157218443274,3
2,0.9416512349329432,2
3,0.9985896055663936,3
4,0.8457658539487162,3
1,0.9800226977704679,3
2,0.9235976955822445,2
3,0.8234815407722484,3
4,0.8785063147577614,2
1,0.9713107216099232,3
2,0.8175195311866704,3
3,0.7974760097878811,3
4,0.9413789352228744,3
1,0.9020742162773744,3
2,0.8903738649770351,1
3,0.8785063147577614,3
4,0.7907827793115187,2
1,0.9064867460799705,3
2,0.8479472121391745,2
3,0.9847433310729073,3
4,0.9299266794426176,0
1,0.8442647932162931,3
2,0.950643827301556,1
3,0.8755344637691918,3
4,0.9431927724054007,2
1,0.8440548694473743,3
2,0.929376154842531,1
3,0.9222128747132299,3
4,0.9716278559222536,3
1,0.8137426241943386,2
2,0.9993330910863346,1
3,0.9724779491211462,3
4,0.8691372566874422,3
1,0.9424257960378288,2
2,0.8674757060831553,1
3,0.9856684716221296,3
4,0.947701556505643,3
1,0.916043615957016,3
2,0.8499319772236132,2
3,0.9006019042932529,2
4,0.8219529361966623,1
1,0.858059727974443,3
2,0.9784902713147297,2
3,0.9174858910796971,3
4,0.9032139773855579,2
1,0.8933099074325812,3
2,0.9807950224780967,3
3,0.9826836564839496,3
4,0.9934483466567303,3
1,0.811341821136902,1
2,0.860274627742016,2
3,0.9962249201919597,3
4,0.7854562820077893,1
1,0.9494797985734955,3
2,0.9772129163350377,3
3,0.9293185415738134,3
4,0.963347469806477,2
1,0.9989031256913786,3
2,0.8489979087560469,3
3,0.9039108796665211,3
4,0.9985199813989787,2
1,0.9101046980829193,3
2,0.9125685793223939,1
3,0.9730459096169549,3
4,0.8525960221959487,3
1,0.9659494863736687,3
2,0.9521038713778109,3
3,0.9341661406422918,3
4,0.983919796755842,3
1,0.9431042973171881,3
2,0.926935290549927,2
3,0.9476787465325343,2
4,0.9777333294533759,2
1,0.9702025993124299,3
2,0.9827436277676568,3
3,0.9444951741452061,3
4,0.7183755373820281,3
1,0.9140758065778698,2
2,0.9496388405836331,2
3,0.8562540127764087,3
4,0.8903694013804108,3
1,0.8747862559546303,3
2,0.9424257960378288,3
3,0.9887368171985008,3
4,0.9606713457931545,3
1,0.9876392387790589,3
2,0.9748830897462037,3
3,0.907212746291867,3
4,0.8804776132214814,3
1,0.9278972093832594,3
2,0.97689775312907,2
3,0.8763198283463037,3
4,0.9799665708871305,3
1,0.8984748308674012,3
2,0.9447365734834279,3
3,0.9465286685896565,3
4,0.9935648413963413,2
1,0.8567216099189943,1
2,0.9477976310376072,2
3,0.9275379125225744,3
4,0.9794485463273419,1
1,0.9329601890109994,3
2,0.9297330989247181,3
3,0.9912956803216381,3
