grupo,valor
1,0.29910431598840403
1,1.3701366961408605
1,0.7827214575807344
1,0.9761001789239485
1,0.5610664100364915
1,1.1475242512369188
1,1.4759497604913994
1,1.089478242522602
1,1.1965849877530903
1,0.8718629111678408
1,0.9202709470426197
1,1.2617208130598823
1,1.0143988618046555
1,1.1527371372254738
1,0.8692546816279535
1,1.285866685336716
1,1.1468013574225444
1,0.6358166977462805
1,0.901764734780105
1,1.1779790493825189
2,0.2060602780578994
2,0.1071385090792013
2,0.13905858307600474
2,0.21218562281211314
2,0.34409940163528824
2,0.2708170553028862
2,0.15064402423761436
2,0.2911016269244426
2,0.302452239117387
2,0.18254547706417737
2,0.1739057479714194
2,0.3753517003108287
2,0.2586561931850906
2,0.13139237719779
2,0.24839325076208074
2,0.14676242312683901
2,0.296600149484979
2,0.3121429080750086
2,0.32766266375123315
2,0.170567897469489
3,0.6456073312416545
3,0.5863488775327135
3,1.196597156005574
3,0.922181708079509
3,0.7119153114852654
3,0.8010072026345837
3,0.6266983256403664
3,0.5756889310076445
3,0.7441915441523282
3,0.8969223743624417
3,0.5832552687166199
3,0.7448923372341655
3,1.2696380937672684
3,0.6166071246041931
3,1.3362363080195063
3,0.7629407537872464
3,1.0378011983995004
3,0.4633573774042831
3,0.7583102793973834
3,0.9676978894267808
4,1.7954354981181173
4,1.3723494702796317
4,2.021721968287725
4,1.3280401336573795
4,1.1302245908598663
4,1.6513473936435965
4,1.489399672301136
4,1.9053809486105044
4,0.8506851481082128
4,1.256722695385917
4,1.2468357745748626
4,1.370075320839507
4,1.4435773121400168
4,1.139801650066334
4,1.0056810460605168
4,1.5405877480251233
4,2.412906367845022
4,1.3319168776528523
4,1.6108140201749321
4,1.6995663424421996
G5,0.7758091173219168
G5,0.639620663565059
G5,0.5657099903063765
G5,0.013952701329597972
G5,0.2976529907616803
G5,0.5618085689639005
G5,0.3731638639133049
G5,0.6008939175636101
G5,0.7031357901170601
G5,0.30379476240952374
G5,0.2819435619338888
G5,0.9168159725453646
G5,0.20225834729201575
G5,0.43419654155968895
G5,0.0632961291802
G5,0.49324261718643114
G5,0.4817755844260777
G5,0.4739518163604873
G5,0.07948590482189893
G5,0.7444710015516564
G6,1.6267330202402697
G6,1.3382272906890258
G6,0.8724440072341852
G6,1.1743501338843174
G6,0.9891490167215846
G6,1.4782665242776951
G6,1.2419291633417102
G6,1.434869255454172
G6,0.7394763196201637
G6,0.9104393143845805
G6,1.2530148851550593
G6,0.4857420211680131
G6,1.6082402666620523
G6,1.2083200903968456
G6,0.5044993114105197
G6,1.1098778060348062
G6,1.000221384533473
G6,0.18474267524641064
G6,1.0813366186974165
G6,2.8942825495217104
